#,payment_id,customer_id,staff_id,rental_id,amount,payment_date,payment_type
50,32049,107,1,13079,1.98,2007-05-14 13:44:29.996577,
51,32048,101,2,12141,0.99,2007-05-14 13:44:29.996577,
52,32047,100,2,15021,0.99,2007-05-14 13:44:29.996577,
53,32046,99,1,11593,0.99,2007-05-14 13:44:29.996577,
54,32045,94,1,15371,4.99,2007-05-14 13:44:29.996577,
55,32044,91,1,12902,4.99,2007-05-14 13:44:29.996577,
56,32043,87,2,12719,4.99,2007-05-14 13:44:29.996577,
57,32042,83,2,11563,4.99,2007-05-14 13:44:29.996577,
58,32041,80,2,12457,2.99,2007-05-14 13:44:29.996577,
59,32040,75,2,15191,0.00,2007-05-14 13:44:29.996577,
60,32039,75,1,14488,0.00,2007-05-14 13:44:29.996577,
61,32038,75,2,13534,8.97,2007-05-14 13:44:29.996577,
62,32037,73,2,13108,2.99,2007-05-14 13:44:29.996577,
63,32036,69,2,11995,0.99,2007-05-14 13:44:29.996577,
64,32035,64,2,13333,4.99,2007-05-14 13:44:29.996577,
65,32034,60,2,14741,0.00,2007-05-14 13:44:29.996577,
66,32033,60,2,12489,9.98,2007-05-14 13:44:29.996577,
67,32032,58,2,15326,0.99,2007-05-14 13:44:29.996577,
68,32031,56,2,15714,4.99,2007-05-14 13:44:29.996577,
69,32030,53,1,14137,0.00,2007-05-14 13:44:29.996577,
70,32029,53,2,11657,7.98,2007-05-14 13:44:29.996577,
71,32028,52,1,12001,4.99,2007-05-14 13:44:29.996577,
72,32027,44,2,13428,4.99,2007-05-14 13:44:29.996577,
73,32026,43,1,15745,0.00,2007-05-14 13:44:29.996577,
74,32025,43,2,15644,3.98,2007-05-14 13:44:29.996577,
75,32024,42,1,15407,0.00,2007-05-14 13:44:29.996577,
76,32023,42,1,13351,5.98,2007-05-14 13:44:29.996577,
77,32022,41,1,15875,2.99,2007-05-14 13:44:29.996577,
78,32021,33,1,12277,0.99,2007-05-14 13:44:29.996577,
79,32020,29,2,15577,0.99,2007-05-14 13:44:29.996577,
80,32019,28,2,12938,2.99,2007-05-14 13:44:29.996577,
81,32018,23,2,15532,2.99,2007-05-14 13:44:29.996577,
82,32017,22,1,12222,4.99,2007-05-14 13:44:29.996577,
83,32016,21,1,14933,2.99,2007-05-14 13:44:29.996577,
84,32015,15,2,13968,0.00,2007-05-14 13:44:29.996577,
85,32014,15,1,13798,3.98,2007-05-14 13:44:29.996577,
86,32013,14,1,13780,4.99,2007-05-14 13:44:29.996577,
87,32012,11,1,11646,0.99,2007-05-14 13:44:29.996577,
88,32011,9,1,15813,4.99,2007-05-14 13:44:29.996577,
89,32010,5,2,13209,0.99,2007-05-14 13:44:29.996577,
90,32009,597,1,11652,4.99,2007-05-14 13:44:29.996577,
91,32008,596,1,15423,0.99,2007-05-14 13:44:29.996577,
92,32007,592,2,14606,0.99,2007-05-14 13:44:29.996577,
93,32006,590,2,15458,2.99,2007-05-14 13:44:29.996577,
94,32005,587,1,12144,0.99,2007-05-14 13:44:29.996577,
95,32004,585,2,14604,4.99,2007-05-14 13:44:29.996577,
96,32003,582,2,12127,2.99,2007-05-14 13:44:29.996577,
97,32002,579,2,15794,0.99,2007-05-14 13:44:29.996577,
98,32001,576,1,13464,0.00,2007-05-14 13:44:29.996577,
99,32000,576,2,11942,5.98,2007-05-14 13:44:29.996577,
100,31999,570,1,12716,0.99,2007-05-14 13:44:29.996577,
101,31998,568,2,14531,2.99,2007-05-14 13:44:29.996577,
102,31997,561,1,14415,0.99,2007-05-14 13:44:29.996577,
103,31996,560,2,14425,0.00,2007-05-14 13:44:29.996577,
104,31995,560,2,12116,5.98,2007-05-14 13:44:29.996577,
105,31994,557,1,14278,4.99,2007-05-14 13:44:29.996577,
106,31993,550,2,11757,2.99,2007-05-14 13:44:29.996577,
107,31992,548,1,13584,0.99,2007-05-14 13:44:29.996577,
108,31991,537,1,13419,4.99,2007-05-14 13:44:29.996577,
109,31990,534,1,14526,2.99,2007-05-14 13:44:29.996577,
110,31989,533,2,14018,2.99,2007-05-14 13:44:29.996577,
111,31988,532,1,14616,0.99,2007-05-14 13:44:29.996577,
112,31987,530,1,13561,2.99,2007-05-14 13:44:29.996577,
113,31986,527,1,14267,2.99,2007-05-14 13:44:29.996577,
114,31985,525,1,14954,2.99,2007-05-14 13:44:29.996577,
115,31984,521,2,11672,4.99,2007-05-14 13:44:29.996577,
116,31983,516,1,12915,0.00,2007-05-14 13:44:29.996577,
117,31982,516,1,12130,5.98,2007-05-14 13:44:29.996577,
118,31981,512,1,12786,0.99,2007-05-14 13:44:29.996577,
119,31980,508,1,14318,0.99,2007-05-14 13:44:29.996577,
120,31979,505,2,15867,4.99,2007-05-14 13:44:29.996577,
121,31978,497,1,12698,4.99,2007-05-14 13:44:29.996577,
122,31977,496,1,13182,2.99,2007-05-14 13:44:29.996577,
123,31976,495,2,13753,0.99,2007-05-14 13:44:29.996577,
124,31975,493,2,14160,2.99,2007-05-14 13:44:29.996577,
125,31974,479,1,12101,0.99,2007-05-14 13:44:29.996577,
126,31973,476,1,13941,0.99,2007-05-14 13:44:29.996577,
127,31972,474,1,11909,0.99,2007-05-14 13:44:29.996577,
128,31971,472,2,14928,4.99,2007-05-14 13:44:29.996577,
129,31970,457,2,14516,0.00,2007-05-14 13:44:29.996577,
130,31969,457,1,12645,3.98,2007-05-14 13:44:29.996577,
131,31968,452,1,14175,4.99,2007-05-14 13:44:29.996577,
132,31967,450,1,14172,0.99,2007-05-14 13:44:29.996577,
133,31966,448,1,13577,0.00,2007-05-14 13:44:29.996577,
134,31965,448,2,14734,3.98,2007-05-14 13:44:29.996577,
135,31964,441,1,14878,4.99,2007-05-14 13:44:29.996577,
136,31963,440,1,13106,4.99,2007-05-14 13:44:29.996577,
137,31962,438,2,12524,0.99,2007-05-14 13:44:29.996577,
138,31961,431,2,13587,2.99,2007-05-14 13:44:29.996577,
139,31960,424,1,15094,0.99,2007-05-14 13:44:29.996577,
140,31959,422,2,15441,2.99,2007-05-14 13:44:29.996577,
141,31958,421,2,15710,0.99,2007-05-14 13:44:29.996577,
142,31957,417,2,13261,2.99,2007-05-14 13:44:29.996577,
143,31956,412,1,15314,0.99,2007-05-14 13:44:29.996577,
144,31955,411,2,13246,4.99,2007-05-14 13:44:29.996577,
145,31954,410,1,12665,2.99,2007-05-14 13:44:29.996577,
146,31953,405,1,12792,0.99,2007-05-14 13:44:29.996577,
147,31952,394,2,13178,4.99,2007-05-14 13:44:29.996577,
148,31951,388,1,12891,0.99,2007-05-14 13:44:29.996577,
149,31950,374,2,15966,2.99,2007-05-14 13:44:29.996577,
150,31949,373,1,11739,0.99,2007-05-14 13:44:29.996577,
151,31948,369,1,13898,0.99,2007-05-14 13:44:29.996577,
152,31947,366,1,13421,4.99,2007-05-14 13:44:29.996577,
153,31946,361,1,14769,0.00,2007-05-14 13:44:29.996577,
154,31945,361,1,13298,3.98,2007-05-14 13:44:29.996577,
155,31944,359,2,15655,4.99,2007-05-14 13:44:29.996577,
156,31943,355,1,14760,0.99,2007-05-14 13:44:29.996577,
157,31942,354,1,11782,0.00,2007-05-14 13:44:29.996577,
158,31941,354,1,12759,7.98,2007-05-14 13:44:29.996577,
159,31940,352,2,13578,2.99,2007-05-14 13:44:29.996577,
160,31939,349,1,14915,2.99,2007-05-14 13:44:29.996577,
161,31938,337,2,11847,0.99,2007-05-14 13:44:29.996577,
162,31937,336,1,13022,0.99,2007-05-14 13:44:29.996577,
163,31936,335,2,11541,0.99,2007-05-14 13:44:29.996577,
164,31935,334,1,14219,0.99,2007-05-14 13:44:29.996577,
165,31934,330,2,11709,2.99,2007-05-14 13:44:29.996577,
166,31933,327,1,15297,2.99,2007-05-14 13:44:29.996577,
167,31932,324,2,13965,2.99,2007-05-14 13:44:29.996577,
168,31931,317,1,12574,0.99,2007-05-14 13:44:29.996577,
169,31930,315,2,14426,2.99,2007-05-14 13:44:29.996577,
170,31929,300,1,15695,4.99,2007-05-14 13:44:29.996577,
171,31928,296,1,12009,2.99,2007-05-14 13:44:29.996577,
172,31927,295,2,15735,0.99,2007-05-14 13:44:29.996577,
173,31926,287,2,14204,0.99,2007-05-14 13:44:29.996577,
174,31925,284,2,12959,0.00,2007-05-14 13:44:29.996577,
175,31924,284,1,12064,5.98,2007-05-14 13:44:29.996577,
176,31923,282,2,15430,0.99,2007-05-14 13:44:29.996577,
177,31922,279,2,13538,4.99,2007-05-14 13:44:29.996577,
178,31921,274,1,13486,0.99,2007-05-14 13:44:29.996577,
179,31920,269,2,12610,0.00,2007-05-14 13:44:29.996577,
180,31919,269,1,13025,3.98,2007-05-14 13:44:29.996577,
181,31918,267,2,13713,0.00,2007-05-14 13:44:29.996577,
182,31917,267,2,12066,7.98,2007-05-14 13:44:29.996577,
183,31916,267,1,8572,1.99,2007-04-29 10:19:50.996577,
184,31915,267,1,8190,4.99,2007-04-28 21:15:32.996577,
185,31914,267,1,6706,3.99,2007-04-12 11:27:42.996577,
186,31913,267,1,6070,0.99,2007-04-11 03:16:08.996577,
187,31912,267,1,5340,6.99,2007-04-09 15:40:01.996577,
188,31911,267,1,3817,2.99,2007-04-06 14:00:11.996577,
189,31910,266,2,9109,5.99,2007-04-30 07:26:50.996577,
190,31909,266,1,8492,2.99,2007-04-29 07:32:43.996577,
191,31908,266,1,5577,4.99,2007-04-10 02:27:06.996577,
192,31907,266,2,5362,5.99,2007-04-09 16:44:34.996577,
193,31906,266,2,3585,0.99,2007-04-06 02:51:02.996577,
194,31905,265,1,9416,2.99,2007-04-30 19:21:11.996577,
195,31904,265,2,8665,0.99,2007-04-29 14:07:55.996577,
196,31903,265,2,8489,2.99,2007-04-29 07:26:29.996577,
197,31902,265,1,8278,5.99,2007-04-29 00:11:21.996577,
198,31901,265,1,7704,2.99,2007-04-28 02:30:39.996577,
199,31900,265,2,7414,1.99,2007-04-27 15:14:33.996577,
200,31899,265,2,6921,6.99,2007-04-12 21:07:29.996577,
201,31898,265,2,6553,5.99,2007-04-12 03:35:05.996577,
202,31897,265,2,6371,4.99,2007-04-11 20:00:17.996577,
203,31896,265,1,6068,4.99,2007-04-11 03:09:35.996577,
204,31895,265,1,5710,9.99,2007-04-10 09:01:18.996577,
205,31894,265,1,5417,4.99,2007-04-09 19:02:35.996577,
206,31893,265,2,5029,7.99,2007-04-09 01:03:58.996577,
207,31892,265,1,4797,2.99,2007-04-08 15:07:31.996577,
208,31891,265,1,4610,0.99,2007-04-08 05:56:31.996577,
209,31890,265,1,3823,2.99,2007-04-06 14:09:53.996577,
210,31889,264,1,9932,5.99,2007-04-30 13:48:14.996577,
211,31888,264,1,9861,5.99,2007-04-30 11:32:40.996577,
212,31887,264,2,9515,0.99,2007-04-30 23:03:31.996577,
213,31886,264,2,9380,2.99,2007-04-30 17:45:57.996577,
214,31885,264,1,7006,8.99,2007-04-27 00:10:46.996577,
215,31884,264,1,6543,0.99,2007-04-12 03:22:58.996577,
216,31883,264,1,6395,2.99,2007-04-11 20:57:55.996577,
217,31882,264,2,6391,0.99,2007-04-11 20:51:35.996577,
218,31881,264,1,6340,8.99,2007-04-11 18:14:31.996577,
219,31880,264,1,4539,0.99,2007-04-08 02:29:28.996577,
220,31879,264,1,4328,4.99,2007-04-07 16:31:43.996577,
221,31878,264,1,3618,6.99,2007-04-06 04:27:11.996577,
222,31877,263,2,7833,1.99,2007-04-28 07:14:40.996577,
223,31876,263,1,7706,4.99,2007-04-28 02:31:43.996577,
224,31875,263,1,7425,4.99,2007-04-27 15:47:01.996577,
225,31874,263,2,7291,4.99,2007-04-27 10:59:13.996577,
226,31873,263,1,6808,1.99,2007-04-12 16:05:08.996577,
227,31872,263,1,6483,2.99,2007-04-12 00:27:46.996577,
228,31871,263,2,6376,4.99,2007-04-11 20:08:49.996577,
229,31870,263,2,5254,1.99,2007-04-09 12:18:37.996577,
230,31869,263,2,5125,2.99,2007-04-09 05:53:54.996577,
231,31868,263,2,4682,2.99,2007-04-08 09:06:53.996577,
232,31867,263,2,4637,0.99,2007-04-08 07:18:20.996577,
233,31866,263,2,3773,2.99,2007-04-06 11:52:00.996577,
234,31865,263,1,3578,4.99,2007-04-06 02:15:31.996577,
235,31864,262,1,9105,6.99,2007-04-30 07:18:51.996577,
236,31863,262,1,6986,4.99,2007-04-26 23:27:31.996577,
237,31862,262,1,6805,6.99,2007-04-12 15:51:27.996577,
238,31861,262,2,6762,7.99,2007-04-12 13:53:59.996577,
239,31860,262,1,6724,3.99,2007-04-12 12:13:41.996577,
240,31859,262,2,6547,7.99,2007-04-12 03:26:12.996577,
241,31858,262,1,6291,0.99,2007-04-11 15:45:06.996577,
242,31857,262,2,5503,0.99,2007-04-09 23:04:03.996577,
243,31856,262,1,4501,0.99,2007-04-08 00:40:26.996577,
244,31855,262,1,3699,3.99,2007-04-06 08:39:51.996577,
245,31854,262,1,3521,1.99,2007-04-05 23:28:37.996577,
246,31853,261,1,9869,4.99,2007-04-30 11:50:20.996577,
247,31852,261,1,9842,4.99,2007-04-30 10:53:24.996577,
248,31851,261,2,9552,4.99,2007-04-30 00:33:58.996577,
249,31850,261,1,6743,0.99,2007-04-12 12:57:51.996577,
250,31849,261,2,6515,2.99,2007-04-12 02:18:58.996577,
251,31848,261,1,5449,5.99,2007-04-09 20:40:27.996577,
252,31847,261,1,5122,3.99,2007-04-09 05:48:01.996577,
253,31846,260,2,9176,4.99,2007-04-30 10:19:20.996577,
254,31845,260,1,8933,0.99,2007-04-30 01:04:32.996577,
255,31844,260,1,8717,0.99,2007-04-29 16:09:11.996577,
256,31843,260,1,8484,2.99,2007-04-29 07:20:25.996577,
257,31842,260,1,8475,1.99,2007-04-29 07:06:07.996577,
258,31841,260,1,7885,7.99,2007-04-28 09:06:07.996577,
259,31840,260,1,7268,1.99,2007-04-27 09:51:35.996577,
260,31839,260,2,7072,0.99,2007-04-27 02:30:59.996577,
261,31838,260,2,6328,2.99,2007-04-11 17:37:59.996577,
262,31837,260,1,4870,2.99,2007-04-08 17:43:11.996577,
263,31836,260,2,4741,6.99,2007-04-08 11:59:49.996577,
264,31835,260,2,4054,0.99,2007-04-07 02:10:33.996577,
265,31834,546,1,4591,3.99,2007-04-30 19:44:46.996577,
266,31833,259,1,9444,7.99,2007-04-30 20:17:10.996577,
267,31832,259,1,9282,6.99,2007-04-30 13:45:57.996577,
268,31831,259,2,9205,6.99,2007-04-30 11:15:06.996577,
269,31830,259,1,7817,4.99,2007-04-28 06:49:21.996577,
270,31829,259,2,7774,7.99,2007-04-28 05:31:51.996577,
271,31828,259,2,7188,2.99,2007-04-27 07:00:34.996577,
272,31827,259,2,6539,3.99,2007-04-12 03:19:15.996577,
273,31826,259,1,6074,0.99,2007-04-11 03:28:22.996577,
274,31825,259,2,4489,4.99,2007-04-07 23:52:24.996577,
275,31824,259,2,4199,5.99,2007-04-07 09:41:33.996577,
276,31823,258,2,9069,4.99,2007-04-30 06:08:25.996577,
277,31822,258,1,8675,4.99,2007-04-29 14:24:44.996577,
278,31821,258,1,7814,2.99,2007-04-28 06:38:14.996577,
279,31820,258,2,6012,4.99,2007-04-11 00:28:38.996577,
280,31819,258,1,5935,9.99,2007-04-10 20:39:30.996577,
281,31818,258,1,5674,0.99,2007-04-10 06:54:52.996577,
282,31817,258,2,5312,5.99,2007-04-09 14:31:35.996577,
283,31816,258,2,4897,0.99,2007-04-08 18:53:37.996577,
284,31815,258,1,4677,5.99,2007-04-08 08:59:02.996577,
285,31814,258,2,4408,2.99,2007-04-07 20:09:32.996577,
286,31813,257,2,10142,4.99,2007-04-30 20:39:20.996577,
287,31812,257,1,9800,4.99,2007-04-30 09:29:24.996577,
288,31811,257,2,8946,6.99,2007-04-30 01:43:19.996577,
289,31810,257,1,8640,4.99,2007-04-29 13:02:43.996577,
290,31809,257,1,8344,4.99,2007-04-29 03:13:51.996577,
291,31808,257,2,8252,2.99,2007-04-28 23:22:43.996577,
292,31807,257,2,8156,3.99,2007-04-28 19:27:30.996577,
293,31806,257,2,7518,5.99,2007-04-27 19:29:42.996577,
294,31805,257,2,7510,2.99,2007-04-27 19:06:23.996577,
295,31804,257,1,7496,1.99,2007-04-27 18:32:31.996577,
296,31803,257,1,7176,2.99,2007-04-27 06:32:54.996577,
297,31802,257,2,7007,4.99,2007-04-27 00:12:05.996577,
298,31801,257,2,6711,5.99,2007-04-12 11:52:06.996577,
299,31800,257,1,6422,5.99,2007-04-11 22:14:45.996577,
300,31799,257,1,5858,4.99,2007-04-10 16:28:33.996577,
301,31798,257,1,5495,6.99,2007-04-09 22:45:20.996577,
302,31797,257,2,4574,4.99,2007-04-08 04:08:08.996577,
303,31796,257,2,4462,6.99,2007-04-07 22:31:15.996577,
304,31795,256,2,9424,2.99,2007-04-30 19:39:22.996577,
305,31794,256,1,7661,3.99,2007-04-28 00:38:53.996577,
306,31793,256,1,6298,0.99,2007-04-11 16:10:59.996577,
307,31792,256,1,5179,2.99,2007-04-09 08:29:10.996577,
308,31791,256,2,4182,0.99,2007-04-07 08:56:26.996577,
309,31790,256,1,4130,0.99,2007-04-07 06:20:19.996577,
310,31789,255,1,9061,6.99,2007-04-30 05:50:18.996577,
311,31788,255,1,8562,0.99,2007-04-29 10:00:39.996577,
312,31787,255,1,7646,2.99,2007-04-28 00:00:11.996577,
313,31786,255,2,7475,8.99,2007-04-27 17:36:09.996577,
314,31785,255,1,5943,0.99,2007-04-10 21:16:39.996577,
315,31784,255,1,5706,1.99,2007-04-10 08:50:12.996577,
316,31783,255,1,4547,0.99,2007-04-08 02:48:45.996577,
317,31782,254,2,9494,1.99,2007-04-30 22:21:12.996577,
318,31781,254,2,8581,4.99,2007-04-29 10:30:32.996577,
319,31780,254,2,8216,7.99,2007-04-28 22:12:25.996577,
320,31779,254,1,7413,4.99,2007-04-27 15:14:06.996577,
321,31778,254,2,7011,0.99,2007-04-27 00:27:00.996577,
322,31777,254,2,5930,4.99,2007-04-10 20:27:58.996577,
323,31776,254,1,5826,7.99,2007-04-10 14:49:28.996577,
324,31775,254,1,5550,5.99,2007-04-10 01:27:01.996577,
325,31774,254,1,5537,0.99,2007-04-10 01:04:07.996577,
326,31773,254,2,5080,2.99,2007-04-09 03:52:21.996577,
327,31772,254,1,5072,3.99,2007-04-09 03:30:24.996577,
328,31771,254,2,5042,2.99,2007-04-09 01:48:56.996577,
329,31770,254,1,3882,4.99,2007-04-06 17:06:47.996577,
330,31769,253,2,9618,6.99,2007-04-30 02:44:40.996577,
331,31768,253,2,9606,0.99,2007-04-30 02:19:12.996577,
332,31767,253,2,8752,2.99,2007-04-29 17:43:33.996577,
333,31766,253,2,7887,2.99,2007-04-28 09:08:38.996577,
334,31765,253,2,7851,0.99,2007-04-28 08:00:24.996577,
335,31764,253,2,7689,2.99,2007-04-28 01:49:50.996577,
336,31763,253,1,5602,4.99,2007-04-10 03:30:48.996577,
337,31762,253,1,5505,2.99,2007-04-09 23:07:14.996577,
338,31761,253,1,3658,7.99,2007-04-06 06:29:34.996577,
339,31760,252,1,8899,0.99,2007-04-29 23:33:56.996577,
340,31759,252,1,8636,5.99,2007-04-29 12:52:39.996577,
341,31758,252,1,7670,0.99,2007-04-28 01:12:51.996577,
342,31757,252,2,7168,0.99,2007-04-27 06:19:37.996577,
343,31756,252,2,7121,0.99,2007-04-27 04:26:58.996577,
344,31755,252,1,7024,4.99,2007-04-27 01:05:06.996577,
345,31754,252,2,6369,0.99,2007-04-11 19:52:02.996577,
346,31753,252,1,6357,0.99,2007-04-11 19:27:17.996577,
347,31752,252,2,5554,2.99,2007-04-10 01:32:04.996577,
348,31751,252,2,4372,0.99,2007-04-07 18:37:27.996577,
349,31750,251,1,9892,0.99,2007-04-30 12:34:51.996577,
350,31749,251,1,9196,2.99,2007-04-30 10:58:45.996577,
351,31748,251,2,8982,0.99,2007-04-30 02:59:28.996577,
352,31747,251,2,8443,2.99,2007-04-29 06:01:38.996577,
353,31746,251,2,7338,8.99,2007-04-27 12:42:00.996577,
354,31745,251,2,6413,6.99,2007-04-11 21:54:37.996577,
355,31744,251,2,5979,2.99,2007-04-10 22:45:35.996577,
356,31743,251,2,5012,2.99,2007-04-09 00:13:30.996577,
357,31742,251,2,4848,2.99,2007-04-08 16:58:42.996577,
358,31741,251,2,4026,3.99,2007-04-07 00:44:14.996577,
359,31740,251,1,3799,4.99,2007-04-06 13:28:40.996577,
360,31739,250,2,9099,0.99,2007-04-30 07:14:14.996577,
361,31738,250,1,8579,2.99,2007-04-29 10:27:48.996577,
362,31737,250,1,5998,2.99,2007-04-10 23:49:12.996577,
363,31736,250,1,5540,0.99,2007-04-10 01:12:47.996577,
364,31735,250,1,5479,2.99,2007-04-09 22:15:59.996577,
365,31734,250,1,3951,3.99,2007-04-06 20:19:07.996577,
366,31733,250,1,3635,4.99,2007-04-06 05:24:02.996577,
367,31732,249,2,7881,4.99,2007-04-28 09:01:48.996577,
368,31731,249,1,7804,2.99,2007-04-28 06:24:26.996577,
369,31730,249,1,7544,7.99,2007-04-27 20:16:03.996577,
370,31729,249,2,6670,7.99,2007-04-12 10:12:59.996577,
371,31728,249,2,5639,3.99,2007-04-10 05:02:05.996577,
372,31727,249,1,5275,4.99,2007-04-09 13:02:44.996577,
373,31726,249,1,5011,4.99,2007-04-09 00:13:06.996577,
374,31725,249,1,4352,9.99,2007-04-07 17:44:24.996577,
375,31724,248,2,7778,5.99,2007-04-28 05:38:37.996577,
376,31723,248,2,6617,2.99,2007-04-12 07:08:22.996577,
377,31722,248,1,5370,2.99,2007-04-09 17:11:45.996577,
378,31721,248,1,4841,0.99,2007-04-08 16:46:49.996577,
379,31720,248,2,4541,4.99,2007-04-08 02:32:45.996577,
380,31719,248,1,3910,0.99,2007-04-06 18:33:44.996577,
381,31718,247,1,7963,5.99,2007-04-28 12:17:04.996577,
382,31717,247,1,5842,4.99,2007-04-10 15:40:03.996577,
383,31716,247,1,5328,6.99,2007-04-09 15:16:55.996577,
384,31715,247,2,4995,2.99,2007-04-08 23:26:12.996577,
385,31714,247,1,4492,2.99,2007-04-08 00:00:30.996577,
386,31713,247,2,4198,6.99,2007-04-07 09:36:37.996577,
387,31712,247,2,3955,2.99,2007-04-06 20:26:34.996577,
388,31711,246,2,10208,4.99,2007-04-30 23:23:17.996577,
389,31710,246,2,9525,5.99,2007-04-30 23:30:44.996577,
390,31709,246,1,6688,4.99,2007-04-12 10:50:38.996577,
391,31708,246,2,5347,0.99,2007-04-09 15:59:58.996577,
392,31707,246,2,4994,2.99,2007-04-08 23:22:39.996577,
393,31706,246,2,4905,4.99,2007-04-08 19:24:26.996577,
394,31705,246,1,4092,7.99,2007-04-07 04:22:44.996577,
395,31704,245,1,10087,3.99,2007-04-30 18:43:48.996577,
396,31703,245,1,9813,6.99,2007-04-30 09:57:49.996577,
397,31702,245,2,9169,4.99,2007-04-30 10:03:26.996577,
398,31701,245,2,9088,0.99,2007-04-30 06:49:28.996577,
399,31700,245,1,8811,10.99,2007-04-29 20:14:47.996577,
400,31699,245,2,8701,6.99,2007-04-29 15:31:01.996577,
401,31698,245,2,7397,4.99,2007-04-27 14:33:26.996577,
402,31697,245,1,7358,0.99,2007-04-27 13:18:10.996577,
403,31696,245,2,7233,5.99,2007-04-27 08:37:02.996577,
404,31695,245,1,7230,4.99,2007-04-27 08:30:07.996577,
405,31694,245,2,6962,0.99,2007-04-26 22:39:24.996577,
406,31693,245,1,6795,5.99,2007-04-12 15:09:26.996577,
407,31692,245,2,6242,2.99,2007-04-11 13:13:30.996577,
408,31691,245,1,5764,4.99,2007-04-10 11:26:42.996577,
409,31690,245,2,5321,2.99,2007-04-09 14:54:59.996577,
410,31689,245,1,3634,2.99,2007-04-06 05:19:40.996577,
411,31688,244,1,10152,5.99,2007-04-30 20:56:31.996577,
412,31687,244,2,10047,4.99,2007-04-30 17:36:09.996577,
413,31686,244,1,10001,4.99,2007-04-30 16:14:44.996577,
414,31685,244,2,8844,5.99,2007-04-29 21:33:34.996577,
415,31684,244,2,8454,0.99,2007-04-29 06:17:30.996577,
416,31683,244,2,6683,2.99,2007-04-12 10:42:31.996577,
417,31682,244,2,6608,2.99,2007-04-12 06:45:16.996577,
418,31681,244,2,6374,4.99,2007-04-11 20:04:36.996577,
419,31680,244,1,5803,3.99,2007-04-10 13:34:08.996577,
420,31679,244,1,5779,4.99,2007-04-10 12:14:20.996577,
421,31678,244,2,5692,0.99,2007-04-10 08:00:48.996577,
422,31677,244,2,5461,0.99,2007-04-09 21:16:30.996577,
